id,trade_ref,instrument_id,counterparty_id,asset_class,side,quantity,price,trade_date,status
70,TRD-452577-70,7,9,DERIVATIVE,SELL,878.2653,480.8106,2026-04-28,UNMATCHED
71,TRD-346604-71,4,10,FIXED_INCOME,BUY,253.1123,380.4537,2026-04-16,MATCHED
72,TRD-276477-72,26,2,FIXED_INCOME,BUY,422.6004,87.404,2026-05-17,PENDING
73,TRD-131016-73,28,3,DERIVATIVE,BUY,112.9747,319.229,2026-05-24,MATCHED
74,TRD-759399-74,48,5,EQUITY,BUY,614.6019,69.0784,2026-04-13,DISPUTED
75,TRD-965248-75,12,5,EQUITY,BUY,877.7578,175.2827,2026-06-28,UNMATCHED
76,TRD-654460-76,27,2,EQUITY,BUY,208.1848,199.0252,2026-07-28,UNMATCHED
77,TRD-699732-77,15,7,COMMODITY,SELL,291.7042,273.9023,2026-04-23,UNMATCHED
78,TRD-491067-78,19,3,FIXED_INCOME,SELL,377.8381,410.9482,2026-05-08,UNMATCHED
79,TRD-258361-79,39,8,FX,BUY,447.1058,370.7768,2026-07-01,PENDING
80,TRD-306224-80,43,9,DERIVATIVE,SELL,28.2348,252.9826,2026-06-28,MATCHED
81,TRD-567419-81,45,2,COMMODITY,BUY,956.7842,483.9553,2026-04-25,DISPUTED
82,TRD-818214-82,10,6,FX,SELL,339.0139,418.8787,2026-05-25,MATCHED
83,TRD-191622-83,33,5,EQUITY,BUY,165.7131,60.6289,2026-06-10,PENDING
84,TRD-737546-84,18,10,FIXED_INCOME,SELL,410.6949,233.2699,2026-04-19,UNMATCHED
85,TRD-671447-85,12,8,DERIVATIVE,BUY,969.5896,202.5018,2026-06-19,DISPUTED
86,TRD-426683-86,23,2,FX,SELL,735.2294,306.3844,2026-06-23,UNMATCHED
87,TRD-940445-87,23,6,FX,BUY,83.1457,52.6321,2026-06-27,UNMATCHED
88,TRD-862174-88,12,9,COMMODITY,SELL,870.1069,140.7732,2026-04-18,MATCHED
89,TRD-126513-89,6,8,FX,BUY,133.5345,254.344,2026-06-20,MATCHED
90,TRD-421601-90,49,6,FX,BUY,546.5767,357.2851,2026-06-06,MATCHED
91,TRD-586830-91,44,2,EQUITY,SELL,594.7988,184.8406,2026-04-14,UNMATCHED
92,TRD-905733-92,48,10,COMMODITY,SELL,862.6309,77.2396,2026-05-24,MATCHED
93,TRD-325916-93,2,10,FX,SELL,601.3831,246.6653,2026-05-14,DISPUTED
94,TRD-233772-94,46,8,COMMODITY,BUY,506.4205,290.8228,2026-04-21,DISPUTED
95,TRD-860396-95,35,8,FIXED_INCOME,SELL,433.8464,264.2737,2026-06-24,PENDING
96,TRD-342076-96,34,6,FIXED_INCOME,BUY,427.5599,215.4279,2026-05-05,PENDING
97,TRD-699758-97,47,3,FX,SELL,983.8413,245.1909,2026-06-17,PENDING
98,TRD-926913-98,2,3,COMMODITY,SELL,421.0656,240.257,2026-07-19,PENDING
99,TRD-894348-99,28,7,FX,BUY,469.0525,421.7557,2026-07-06,UNMATCHED
100,TRD-279610-100,46,1,COMMODITY,SELL,188.09,271.3808,2026-04-27,MATCHED
101,TRD-988979-101,22,10,FIXED_INCOME,SELL,370.9049,252.46,2026-05-03,DISPUTED
102,TRD-646219-102,2,3,EQUITY,SELL,110.9953,331.5298,2026-04-26,MATCHED
103,TRD-930898-103,15,1,FIXED_INCOME,BUY,770.8907,145.1819,2026-05-29,MATCHED
104,TRD-583064-104,22,2,DERIVATIVE,SELL,521.9754,140.2157,2026-05-10,UNMATCHED
105,TRD-784918-105,2,8,COMMODITY,SELL,401.839,100.5629,2026-07-16,UNMATCHED
106,TRD-292999-106,11,2,FX,BUY,791.6891,195.0096,2026-04-20,DISPUTED
107,TRD-898882-107,9,5,FX,BUY,408.1136,400.0684,2026-05-12,DISPUTED
108,TRD-767365-108,14,4,FX,BUY,947.885,313.2191,2026-05-31,UNMATCHED
109,TRD-270432-109,5,8,EQUITY,SELL,991.0275,358.4391,2026-05-21,PENDING
110,TRD-296572-110,2,9,FX,BUY,50.2929,85.5769,2026-05-19,DISPUTED
111,TRD-274156-111,38,4,COMMODITY,SELL,412.8358,53.2341,2026-04-20,UNMATCHED
112,TRD-108284-112,21,3,COMMODITY,SELL,498.4196,455.2766,2026-07-22,DISPUTED
113,TRD-695770-113,31,2,FX,SELL,63.3985,103.2138,2026-07-05,DISPUTED
114,TRD-938618-114,12,9,DERIVATIVE,SELL,515.7404,376.4649,2026-04-14,MATCHED
115,TRD-231672-115,35,6,DERIVATIVE,BUY,494.6958,261.9775,2026-05-09,DISPUTED
116,TRD-275877-116,23,5,EQUITY,SELL,412.8059,378.5277,2026-07-17,PENDING
117,TRD-209126-117,49,7,EQUITY,BUY,580.8908,55.9215,2026-05-13,DISPUTED
118,TRD-683466-118,10,9,COMMODITY,BUY,607.8275,337.6869,2026-07-17,UNMATCHED
119,TRD-280979-119,21,2,COMMODITY,SELL,582.8259,409.64,2026-05-26,DISPUTED
120,TRD-549717-120,40,8,FIXED_INCOME,SELL,23.1612,283.2645,2026-07-27,DISPUTED
121,TRD-145761-121,24,5,COMMODITY,SELL,675.9647,89.2762,2026-07-01,DISPUTED
122,TRD-512560-122,44,9,DERIVATIVE,SELL,206.8241,315.8656,2026-06-07,PENDING
123,TRD-809549-123,14,8,DERIVATIVE,SELL,977.4299,154.2685,2026-04-02,DISPUTED
124,TRD-133089-124,44,8,FIXED_INCOME,SELL,181.214,275.9922,2026-05-25,DISPUTED
125,TRD-401975-125,27,2,DERIVATIVE,SELL,574.4637,492.002,2026-04-11,MATCHED
126,TRD-963071-126,4,9,FIXED_INCOME,BUY,928.7781,315.4482,2026-06-06,UNMATCHED
127,TRD-911149-127,37,2,COMMODITY,SELL,299.3216,334.5609,2026-04-14,PENDING
128,TRD-178270-128,38,8,FIXED_INCOME,BUY,995.8416,431.7237,2026-04-02,UNMATCHED
129,TRD-201773-129,47,2,COMMODITY,BUY,95.2944,300.9921,2026-06-24,MATCHED
130,TRD-784277-130,8,4,FIXED_INCOME,SELL,993.9574,372.6196,2026-05-30,UNMATCHED
131,TRD-439262-131,32,9,DERIVATIVE,BUY,828.773,158.1188,2026-07-06,MATCHED
132,TRD-836819-132,34,8,FX,SELL,656.1132,461.7495,2026-04-09,UNMATCHED
133,TRD-765972-133,47,4,COMMODITY,SELL,844.701,407.7453,2026-05-13,DISPUTED
134,TRD-315060-134,19,9,FX,BUY,132.314,243.6724,2026-04-06,DISPUTED
135,TRD-625882-135,14,1,FX,BUY,561.6252,333.5011,2026-06-02,DISPUTED
136,TRD-644476-136,21,8,FX,BUY,783.5297,244.0018,2026-05-09,MATCHED
137,TRD-235271-137,12,8,EQUITY,BUY,568.6163,450.0924,2026-04-01,MATCHED
138,TRD-832902-138,38,5,DERIVATIVE,SELL,610.8889,404.3582,2026-04-19,DISPUTED
139,TRD-127675-139,20,10,FX,SELL,468.1312,242.3539,2026-04-24,PENDING
140,TRD-777714-140,34,1,DERIVATIVE,BUY,496.5512,77.8352,2026-04-25,PENDING
141,TRD-426085-141,39,3,COMMODITY,BUY,946.7908,497.4495,2026-07-22,DISPUTED
142,TRD-685663-142,19,5,COMMODITY,BUY,595.5571,227.3297,2026-05-30,DISPUTED
143,TRD-790023-143,10,10,FX,SELL,320.6949,117.777,2026-07-17,MATCHED
144,TRD-686718-144,3,6,DERIVATIVE,SELL,638.8129,128.4856,2026-04-25,DISPUTED
145,TRD-422909-145,31,2,DERIVATIVE,BUY,752.7794,127.0514,2026-06-04,PENDING
146,TRD-644141-146,44,7,EQUITY,SELL,206.0471,199.7332,2026-07-10,DISPUTED
147,TRD-213736-147,9,7,COMMODITY,SELL,478.1824,64.5946,2026-05-17,MATCHED
148,TRD-720478-148,27,8,FX,BUY,20.7402,484.7735,2026-07-02,PENDING
149,TRD-642519-149,25,2,DERIVATIVE,BUY,60.7798,52.4471,2026-07-11,UNMATCHED
150,TRD-922156-150,27,10,FIXED_INCOME,SELL,260.6345,358.0428,2026-05-22,PENDING
151,TRD-189583-151,30,6,DERIVATIVE,BUY,925.7042,425.5782,2026-04-20,PENDING
152,TRD-934996-152,15,5,FX,SELL,226.9611,280.434,2026-05-23,MATCHED
153,TRD-476745-153,23,6,FIXED_INCOME,BUY,817.1142,278.592,2026-06-06,UNMATCHED
154,TRD-992619-154,6,5,DERIVATIVE,BUY,156.8956,277.2282,2026-04-25,MATCHED
155,TRD-755501-155,31,4,DERIVATIVE,SELL,928.889,340.2042,2026-06-26,UNMATCHED
156,TRD-697760-156,30,2,FIXED_INCOME,BUY,668.1697,460.197,2026-04-21,PENDING
157,TRD-771221-157,12,9,DERIVATIVE,BUY,752.3048,387.8622,2026-07-03,DISPUTED
158,TRD-185102-158,35,5,DERIVATIVE,BUY,845.2266,165.1621,2026-05-11,DISPUTED
159,TRD-604266-159,48,1,FX,SELL,234.1756,272.9608,2026-07-22,PENDING
160,TRD-467186-160,36,1,DERIVATIVE,BUY,131.9527,479.8549,2026-07-29,DISPUTED
161,TRD-895394-161,33,7,FIXED_INCOME,BUY,813.4281,317.7087,2026-07-11,PENDING
162,TRD-420048-162,33,3,FX,SELL,815.972,206.105,2026-04-26,UNMATCHED
163,TRD-361233-163,6,8,COMMODITY,SELL,697.2662,370.356,2026-04-11,DISPUTED
164,TRD-291314-164,9,4,DERIVATIVE,BUY,861.5503,270.6689,2026-06-27,PENDING
165,TRD-314487-165,22,5,FX,SELL,608.1216,224.9255,2026-06-27,UNMATCHED
166,TRD-351812-166,42,9,DERIVATIVE,BUY,325.575,156.7509,2026-04-13,DISPUTED
167,TRD-895423-167,41,5,EQUITY,BUY,431.3695,147.5018,2026-07-02,PENDING
168,TRD-301212-168,2,3,COMMODITY,BUY,439.2659,78.3697,2026-07-16,PENDING
169,TRD-801346-169,38,1,DERIVATIVE,SELL,342.9336,175.9009,2026-05-27,DISPUTED
170,TRD-548598-170,36,1,FX,SELL,576.3819,293.5664,2026-05-15,DISPUTED
171,TRD-895728-171,33,8,FIXED_INCOME,BUY,622.3895,236.4314,2026-06-13,PENDING
172,TRD-911933-172,33,6,DERIVATIVE,SELL,201.365,96.6438,2026-07-21,MATCHED
173,TRD-436290-173,6,10,DERIVATIVE,SELL,113.6512,291.3004,2026-05-30,PENDING
174,TRD-815944-174,36,1,FX,BUY,987.7337,137.1266,2026-05-22,MATCHED
175,TRD-866020-175,50,3,DERIVATIVE,SELL,859.8176,163.3197,2026-04-03,PENDING
176,TRD-687876-176,3,9,FX,SELL,984.0312,290.1307,2026-06-17,PENDING
177,TRD-652895-177,16,10,DERIVATIVE,SELL,744.4284,348.1305,2026-07-28,PENDING
178,TRD-467972-178,20,1,DERIVATIVE,BUY,60.4467,205.4004,2026-04-01,UNMATCHED
179,TRD-296299-179,47,7,DERIVATIVE,BUY,976.8137,373.1161,2026-06-29,UNMATCHED
180,TRD-522754-180,11,2,COMMODITY,BUY,13.2842,181.6305,2026-07-25,DISPUTED
181,TRD-609228-181,30,3,DERIVATIVE,BUY,596.8141,499.3962,2026-05-10,MATCHED
182,TRD-849723-182,2,6,EQUITY,SELL,398.3205,173.3258,2026-05-26,PENDING
183,TRD-918058-183,40,2,DERIVATIVE,SELL,360.1462,414.0646,2026-07-13,DISPUTED
184,TRD-299730-184,47,10,COMMODITY,BUY,886.6598,143.201,2026-05-23,MATCHED
185,TRD-201134-185,36,10,FX,BUY,761.8693,115.5569,2026-05-08,UNMATCHED
186,TRD-654114-186,31,5,FIXED_INCOME,SELL,659.6606,398.5552,2026-05-29,MATCHED
187,TRD-550833-187,37,1,COMMODITY,SELL,599.5712,262.9637,2026-05-08,DISPUTED
188,TRD-862553-188,15,8,COMMODITY,BUY,464.7205,345.5887,2026-04-28,DISPUTED
189,TRD-624242-189,27,7,COMMODITY,BUY,317.2245,106.7959,2026-07-10,DISPUTED
190,TRD-181884-190,36,2,EQUITY,BUY,48.9684,170.497,2026-07-31,DISPUTED
191,TRD-599637-191,42,7,COMMODITY,BUY,593.5808,206.6988,2026-04-12,DISPUTED
192,TRD-297579-192,9,2,EQUITY,SELL,624.4313,127.336,2026-05-25,DISPUTED
193,TRD-599285-193,31,9,FIXED_INCOME,BUY,952.4573,91.9737,2026-04-10,DISPUTED
194,TRD-739480-194,33,2,FX,BUY,717.2447,192.1995,2026-04-27,PENDING
195,TRD-663437-195,43,3,EQUITY,BUY,603.902,291.8463,2026-05-01,MATCHED
196,TRD-187847-196,33,10,FX,BUY,613.0679,75.2978,2026-04-11,PENDING
197,TRD-623792-197,49,10,FIXED_INCOME,BUY,719.2196,82.1754,2026-04-24,MATCHED
198,TRD-806818-198,49,8,DERIVATIVE,BUY,433.8232,236.9491,2026-07-24,DISPUTED
199,TRD-757295-199,19,5,EQUITY,BUY,752.8404,332.9289,2026-06-06,MATCHED
200,TRD-263763-200,4,4,COMMODITY,BUY,92.3235,375.8023,2026-05-31,MATCHED
201,TRD-776768-201,28,9,FX,BUY,970.2298,490.5732,2026-04-19,DISPUTED
202,TRD-883972-202,17,1,FIXED_INCOME,SELL,935.9374,134.8577,2026-06-06,PENDING
203,TRD-651487-203,35,3,FX,BUY,120.1029,213.7551,2026-06-14,DISPUTED
204,TRD-287854-204,8,2,EQUITY,SELL,482.4779,149.1533,2026-06-08,UNMATCHED
205,TRD-902824-205,31,6,EQUITY,SELL,784.7647,422.2779,2026-07-12,MATCHED
206,TRD-870533-206,7,10,DERIVATIVE,SELL,264.1433,361.3511,2026-06-19,DISPUTED
207,TRD-348707-207,44,2,COMMODITY,SELL,75.5813,252.8107,2026-07-13,MATCHED
208,TRD-897976-208,20,3,DERIVATIVE,SELL,771.1648,197.972,2026-07-22,DISPUTED
209,TRD-455423-209,40,3,FIXED_INCOME,BUY,377.7446,119.6577,2026-06-12,UNMATCHED
210,TRD-390427-210,29,2,DERIVATIVE,BUY,678.9462,197.6235,2026-07-09,MATCHED
211,TRD-238458-211,15,3,EQUITY,BUY,135.8666,428.8278,2026-05-07,MATCHED
212,TRD-686957-212,5,8,FX,SELL,781.8186,450.2255,2026-06-15,PENDING
213,TRD-967947-213,41,10,FX,BUY,980.7582,298.4633,2026-06-23,UNMATCHED
214,TRD-238800-214,17,4,FX,SELL,962.2737,305.216,2026-06-13,PENDING
215,TRD-489358-215,30,9,DERIVATIVE,SELL,108.6792,339.4551,2026-05-26,DISPUTED
216,TRD-157558-216,13,7,COMMODITY,SELL,943.8696,446.1127,2026-06-19,UNMATCHED
217,TRD-990331-217,42,6,FX,SELL,865.3937,469.4871,2026-07-03,PENDING
218,TRD-798139-218,39,10,EQUITY,SELL,119.8105,260.8095,2026-06-15,DISPUTED
219,TRD-859143-219,32,8,COMMODITY,BUY,332.5952,245.3457,2026-07-28,PENDING
220,TRD-821031-220,19,10,FIXED_INCOME,BUY,90.6002,213.313,2026-07-10,MATCHED
221,TRD-941290-221,39,9,FIXED_INCOME,BUY,679.6966,140.6847,2026-06-25,MATCHED
222,TRD-135816-222,38,6,DERIVATIVE,BUY,881.0324,391.2844,2026-06-03,MATCHED
223,TRD-902951-223,27,2,EQUITY,SELL,558.6964,195.1088,2026-04-09,DISPUTED
224,TRD-726956-224,19,5,FIXED_INCOME,BUY,709.7085,276.2864,2026-05-17,PENDING
225,TRD-779911-225,16,5,EQUITY,BUY,938.1469,376.3281,2026-06-30,PENDING
226,TRD-358459-226,49,3,FIXED_INCOME,SELL,218.0107,286.2068,2026-04-13,UNMATCHED
227,TRD-308613-227,17,2,COMMODITY,SELL,291.4495,436.1716,2026-05-01,MATCHED
228,TRD-174392-228,9,9,COMMODITY,BUY,190.4472,244.5444,2026-04-01,UNMATCHED
229,TRD-938557-229,10,6,COMMODITY,BUY,605.9713,481.5001,2026-04-05,UNMATCHED
230,TRD-106026-230,50,6,EQUITY,BUY,833.7142,87.7639,2026-06-09,UNMATCHED
231,TRD-151668-231,24,1,EQUITY,BUY,335.6592,73.6814,2026-07-21,PENDING
232,TRD-459130-232,2,5,FIXED_INCOME,BUY,277.1814,489.3688,2026-04-15,DISPUTED
233,TRD-202518-233,20,2,DERIVATIVE,BUY,69.264,381.5786,2026-07-09,DISPUTED
234,TRD-777530-234,14,3,EQUITY,SELL,915.5121,365.9919,2026-04-01,PENDING
235,TRD-783066-235,28,1,EQUITY,BUY,607.2915,126.9088,2026-07-08,UNMATCHED
236,TRD-672182-236,37,7,FIXED_INCOME,SELL,474.732,63.3359,2026-06-03,MATCHED
237,TRD-808335-237,5,9,EQUITY,SELL,614.8211,129.4123,2026-07-05,UNMATCHED
238,TRD-551024-238,18,4,FX,SELL,625.6205,54.3819,2026-06-07,MATCHED
239,TRD-890308-239,48,5,EQUITY,SELL,791.7844,311.1488,2026-04-15,UNMATCHED
240,TRD-123036-240,33,8,COMMODITY,SELL,91.8924,322.3555,2026-05-22,MATCHED
241,TRD-884568-241,44,6,COMMODITY,BUY,694.7425,384.5044,2026-05-28,MATCHED
242,TRD-220937-242,41,7,FIXED_INCOME,SELL,11.7752,470.532,2026-06-09,MATCHED
243,TRD-640779-243,42,8,FIXED_INCOME,BUY,936.4268,312.4837,2026-06-12,DISPUTED
244,TRD-432309-244,25,4,DERIVATIVE,SELL,116.1111,357.1376,2026-06-07,MATCHED
245,TRD-120206-245,5,4,FX,BUY,425.7938,435.7915,2026-06-27,DISPUTED
246,TRD-759894-246,50,3,FX,SELL,735.5759,138.4077,2026-05-15,MATCHED
247,TRD-807489-247,21,4,FIXED_INCOME,SELL,606.1286,225.7404,2026-04-03,MATCHED
248,TRD-173657-248,16,9,EQUITY,SELL,843.7539,258.7358,2026-07-16,UNMATCHED
249,TRD-162971-249,15,1,DERIVATIVE,SELL,173.0446,313.4557,2026-07-06,MATCHED
250,TRD-833546-250,46,4,FIXED_INCOME,BUY,205.3849,66.5712,2026-04-13,PENDING
251,TRD-459752-251,24,9,FX,SELL,622.0826,359.6687,2026-04-12,PENDING
252,TRD-504932-252,37,7,COMMODITY,SELL,696.8144,221.5743,2026-04-12,UNMATCHED
253,TRD-414142-253,12,5,COMMODITY,BUY,354.4026,148.7675,2026-05-28,PENDING
254,TRD-448016-254,6,3,FX,SELL,92.636,98.1402,2026-07-04,DISPUTED
255,TRD-605666-255,2,8,EQUITY,BUY,269.1999,326.9657,2026-07-09,MATCHED
256,TRD-725120-256,47,8,FX,SELL,148.0462,377.2268,2026-05-09,UNMATCHED
257,TRD-390278-257,43,8,EQUITY,BUY,839.2159,305.5664,2026-07-05,DISPUTED
258,TRD-523321-258,7,8,COMMODITY,SELL,820.5968,258.4996,2026-07-06,MATCHED
259,TRD-410176-259,27,6,DERIVATIVE,BUY,94.8851,478.064,2026-07-15,UNMATCHED
260,TRD-446694-260,14,2,DERIVATIVE,SELL,981.9903,342.6465,2026-05-03,MATCHED
261,TRD-700187-261,7,4,EQUITY,BUY,662.9809,198.2344,2026-05-14,UNMATCHED
262,TRD-756945-262,6,8,EQUITY,SELL,884.1485,394.0347,2026-04-21,UNMATCHED
263,TRD-225311-263,40,10,COMMODITY,BUY,122.6054,451.7826,2026-04-19,DISPUTED
264,TRD-353290-264,9,8,FX,BUY,986.2918,184.5555,2026-07-23,MATCHED
265,TRD-458739-265,40,5,DERIVATIVE,BUY,126.0278,404.6673,2026-06-28,MATCHED
266,TRD-343447-266,36,9,FIXED_INCOME,BUY,949.9408,176.8793,2026-04-04,MATCHED
267,TRD-629183-267,49,2,DERIVATIVE,SELL,32.2407,492.565,2026-05-10,DISPUTED
268,TRD-357466-268,46,3,FX,SELL,820.6575,308.1068,2026-04-28,DISPUTED
269,TRD-954479-269,36,10,COMMODITY,BUY,398.4353,400.698,2026-06-15,MATCHED
270,TRD-966616-270,22,3,DERIVATIVE,BUY,224.7241,328.9346,2026-06-02,PENDING
271,TRD-847915-271,28,5,FIXED_INCOME,BUY,954.7009,377.2657,2026-04-04,UNMATCHED
272,TRD-508164-272,25,4,FX,SELL,461.4984,302.5316,2026-06-07,PENDING
273,TRD-891956-273,22,5,COMMODITY,BUY,636.6106,222.9357,2026-07-08,UNMATCHED
274,TRD-745866-274,22,5,FX,SELL,360.3394,212.1306,2026-04-15,PENDING
275,TRD-942110-275,36,1,COMMODITY,BUY,152.4315,485.0432,2026-06-07,UNMATCHED
276,TRD-733100-276,41,10,COMMODITY,BUY,952.2852,499.8239,2026-05-10,UNMATCHED
277,TRD-421107-277,2,4,FX,BUY,308.217,370.0789,2026-05-07,PENDING
278,TRD-764707-278,42,5,FX,SELL,408.6335,198.3512,2026-05-20,DISPUTED
279,TRD-587956-279,48,6,DERIVATIVE,SELL,151.5998,297.8807,2026-05-25,DISPUTED
280,TRD-609077-280,16,3,FIXED_INCOME,BUY,773.8768,436.2374,2026-07-17,MATCHED
281,TRD-654570-281,8,6,FX,SELL,488.816,373.0546,2026-07-16,MATCHED
282,TRD-645107-282,36,9,FIXED_INCOME,SELL,556.0176,374.4283,2026-07-21,MATCHED
283,TRD-564953-283,26,2,FIXED_INCOME,SELL,513.4872,144.6809,2026-05-18,UNMATCHED
